Dictionary,Rotation Vector,Translation Vector
0,[[[-0.53386925 -3.10354538  0.74398486]]],[[[-0.32951906 -0.12561023  0.71015559]]]
0,[[[ 0.5211329   2.90377123 -0.59898668]]],[[[-0.33646968 -0.14210317  0.76298452]]]
0,[[[-0.56879401 -3.16507923  0.66761658]]],[[[-0.33732727 -0.14272534  0.76557221]]]
0,[[[ 0.5190071   2.88986039 -0.60764734]]],[[[-0.33722897 -0.14280073  0.76597921]]]
0,[[[ 0.53071016  2.90528034 -0.61810289]]],[[[-0.33504862 -0.14160094  0.76100636]]]
0,[[[-0.556432   -3.14699954  0.64240141]]],[[[-0.3376869  -0.14239236  0.76604394]]]
0,[[[-0.58305132 -3.1617667   0.66801328]]],[[[-0.33941682 -0.14273268  0.76936078]]]
0,[[[ 0.5144476   2.90331775 -0.60415608]]],[[[-0.33971321 -0.14287581  0.76939083]]]
0,[[[-0.58330618 -3.16207887  0.66760324]]],[[[-0.34003154 -0.14275651  0.76948996]]]
0,[[[ 0.54267299  2.88861646 -0.62860151]]],[[[-0.33912703 -0.14251882  0.76743698]]]
0,[[[ 0.54264265  2.88904301 -0.62817218]]],[[[-0.33909436 -0.1430615   0.76736269]]]
0,[[[ 0.54261205  2.88946885 -0.62774322]]],[[[-0.33906173 -0.14360408  0.76728848]]]
0,[[[ 0.54261205  2.88946885 -0.62774322]]],[[[-0.33906173 -0.14360408  0.76728848]]]
0,[[[ 0.53896579  2.89188372 -0.6428465 ]]],[[[-0.33732621 -0.14269785  0.76242158]]]
0,[[[ 0.54478136  2.90312566 -0.61924041]]],[[[-0.33827662 -0.14289502  0.76424474]]]
0,[[[ 0.54276353  2.88926578 -0.62727251]]],[[[-0.33967442 -0.14362787  0.76741626]]]
0,[[[ 0.55079834  2.87603596 -0.65349028]]],[[[-0.34072142 -0.14411943  0.76853053]]]
0,[[[ 0.5427122   2.88921866 -0.62407511]]],[[[-0.34076731 -0.14429311  0.76799872]]]
0,[[[ 0.54124106  2.87516769 -0.63423403]]],[[[-0.34211167 -0.14572566  0.77041284]]]
0,[[[ 0.55817175  2.90299427 -0.61725128]]],[[[-0.34076517 -0.14561967  0.76766106]]]
0,[[[ 0.54279078  2.89075976 -0.62509587]]],[[[-0.34015612 -0.14582157  0.76724673]]]
0,[[[-0.59376019 -3.15843424  0.69544851]]],[[[-0.34150243 -0.14654162  0.7702968 ]]]
0,[[[ 0.54624631  2.88789042 -0.6073517 ]]],[[[-0.34243162 -0.1468521   0.77269704]]]
0,[[[ 0.55067768  2.8777697  -0.65172463]]],[[[-0.34059141 -0.14629258  0.76823582]]]
