Dictionary,Rotation Vector,Translation Vector
0,[[[ 0.0718824  -3.07989421 -0.02504577]]],[[[-0.53995553 -0.20431632  1.43389256]]]
0,[[[ 0.07679407 -3.04996506  0.00681413]]],[[[-0.53421255 -0.19810327  1.39379662]]]
0,[[[-0.07307714  3.19697276  0.02030117]]],[[[-0.55015371 -0.20391722  1.43473652]]]
0,[[[-0.05330827  3.19862233  0.02810619]]],[[[-0.54402928 -0.2005891   1.4167539 ]]]
0,[[[-0.09434067  3.19774525  0.02694335]]],[[[-0.54390386 -0.19984087  1.41509113]]]
0,[[[-0.04599651  2.38600355  0.31668353]]],[[[-0.54971455 -0.20234145  1.43140522]]]
0,[[[-0.06185496  3.23125889 -0.00447856]]],[[[-0.54335853 -0.20006106  1.41298382]]]
0,[[[ 0.05142738 -3.08357702 -0.02713856]]],[[[-0.54506499 -0.20161991  1.41677628]]]
0,[[[-0.06203137  3.23118476 -0.00407294]]],[[[-0.54337588 -0.20211724  1.41302899]]]
0,[[[-0.05240102  3.19831353  0.02320601]]],[[[-0.54448995 -0.20365309  1.41661652]]]
0,[[[-0.06220723  3.23110945 -0.00366849]]],[[[-0.54339353 -0.20417367  1.41307495]]]
0,[[[ 0.0719028  -3.08099988 -0.02461987]]],[[[-0.55139161 -0.20743706  1.43389588]]]
0,[[[-0.09745419  3.21773928  0.07807543]]],[[[-0.54618641 -0.2057253   1.42034581]]]
0,[[[ 6.08903519e-02 -3.13792572e+00  2.81194740e-03]]],[[[-0.55062885 -0.20696553  1.43060381]]]
0,[[[ 0.07189005 -3.0810851  -0.02454797]]],[[[-0.55242794 -0.20743587  1.43388757]]]
0,[[[-0.08153017  3.14126301 -0.0059176 ]]],[[[-0.55954318 -0.2093632   1.44898981]]]
0,[[[-0.10349468  3.22939075 -0.00543615]]],[[[-0.54626902 -0.20339746  1.41124075]]]
0,[[[ 0.06970809 -3.10009748  0.02769017]]],[[[-0.55353157 -0.20537026  1.42669777]]]
0,[[[-0.09251808  3.17906168 -0.03165288]]],[[[-0.56134957 -0.20771818  1.44482535]]]
