Gyro t,Gyro X, Gyro Y, Gyro Z,Accel t, Accel X, Accel Y, Accel Z 
17917773065212,-0.0945463,-0.273812,0.0799585,17917773026694,0,0.687744,-2.75098
17917773203099,-0.0945463,-0.273812,0.0799585,17917773164637,0,0.687744,-2.75098
17917773287339,-0.0945463,-0.273812,0.0799585,17917773248987,0,0.687744,-2.75098
17917773371504,-0.0945463,-0.273812,0.0799585,17917773333153,0,0.687744,-2.75098
17917773455373,-0.0945463,-0.273812,0.0799585,17917773416948,0,0.687744,-2.75098
17917773539057,-0.0945463,-0.273812,0.0799585,17917773500613,0,0.687744,-2.75098
17917773622685,-0.0945463,-0.273812,0.0799585,17917773584352,0,0.687744,-2.75098
17917773706221,-0.0945463,-0.273812,0.0799585,17917773667814,0,0.687744,-2.75098
17917773789720,-0.0945463,-0.273812,0.0799585,17917773751257,0,0.687744,-2.75098
17917773873163,-0.0945463,-0.273812,0.0799585,17917773834793,0,0.687744,-2.75098
17917773956643,-0.0945463,-0.273812,0.0799585,17917773918236,0,0.687744,-2.75098
17917774040142,-0.0335093,-0.151738,0.202033,17917774001698,0,0.687744,-2.75098
17917774123529,-0.0335093,-0.151738,0.202033,17917774085104,0,0.687744,-2.75098
17917774206880,-0.0335093,-0.151738,0.202033,17917774168529,0,0.687744,-2.75098
17917774290193,-0.0335093,-0.151738,0.202033,17917774251824,0,0.687744,-2.75098
17917774373488,-0.0335093,-0.151738,0.202033,17917774335063,0,0.687744,-2.75098
17917774456728,-0.0335093,-0.151738,0.202033,17917774418395,0,0.687744,-2.75098
17917774540134,-0.0335093,-0.151738,0.202033,17917774501672,0,0.687744,-2.75098
17917774623503,-0.0335093,-0.151738,0.202033,17917774585078,0,0.687744,-2.75098
17917774706816,-0.0335093,-0.151738,0.202033,17917774668410,0,0.687744,-2.75098
17917774790074,-0.0335093,-0.151738,0.202033,17917774751686,0,0.687744,-2.75098
17917774873351,-0.0335093,-0.151738,0.202033,17917774834981,0,0.687744,-2.75098
17917774956720,-0.0335093,-0.151738,0.202033,17917774918295,0,0.687744,-2.75098
17917775040126,-0.0335093,-0.151738,0.202033,17917775001664,0,0.687744,-2.75098
17917775123384,-0.0335093,-0.151738,0.202033,17917775085014,0,0.687744,-2.75098
17917775206716,-0.0335093,-0.151738,0.202033,17917775168309,0,0.687744,-2.75098
17917775290122,-0.0335093,-0.151738,0.202033,17917775251678,0,0.687744,-2.75098
17917775373473,-0.0335093,-0.151738,0.202033,17917775335047,0,0.687744,-2.75098
17917775456823,-0.0335093,-0.151738,0.202033,17917775418379,0,0.687744,-2.75098
17917775540174,-0.0335093,-0.151738,0.202033,17917775501730,0,0.687744,-2.75098
17917775623524,-0.0335093,-0.151738,0.202033,17917775585099,0,0.687744,-2.75098
17917775706838,-0.0335093,-0.151738,0.202033,17917775668450,0,0.687744,-2.75098
17917775790170,-0.0335093,-0.151738,0.202033,17917775751689,0,0.687744,-2.75098
17917775873539,-0.0335093,-0.151738,0.202033,17917775835095,0,0.687744,-2.75098
17917775956871,-0.0335093,-0.151738,0.202033,17917775918501,0,0.687744,-2.75098
17917776049481,-0.0335093,-0.151738,0.202033,17917776010852,0,0.687744,-2.75098
17917776134739,-0.0335093,-0.151738,0.202033,17917776096313,0,0.687744,-2.75098
17917776218108,-0.0335093,-0.151738,0.202033,17917776179682,0,0.687744,-2.75098
17917776301366,-0.0335093,-0.151738,0.202033,17917776263014,0,0.687744,-2.75098
17917776384661,-0.0335093,-0.151738,0.202033,17917776346217,0,0.687744,-2.75098
17917776467919,-0.0335093,-0.151738,0.202033,17917776429549,0,0.687744,-2.75098
17917776551121,-0.0335093,-0.151738,0.202033,17917776512770,0,0.687744,-2.75098
17917776634361,-0.0335093,-0.151738,0.202033,17917776595935,0,0.687744,-2.75098
17917776717619,-0.0335093,-0.151738,0.202033,17917776679212,0,0.687744,-2.75098
17917776800895,-0.0335093,-0.151738,0.202033,17917776762470,0,0.687744,-2.75098
17917776884153,-0.0335093,-0.151738,0.202033,17917776845783,0,0.687744,-2.75098
17917776967374,-0.0335093,-0.151738,0.202033,17917776929023,0,0.687744,-2.75098
17917777050613,-0.0335093,-0.151738,0.202033,17917777012244,0,0.687744,-2.75098
17917777133945,-0.0335093,-0.151738,0.202033,17917777095594,0,0.687744,-2.75098
17917777235370,-0.0335093,-0.151738,0.202033,17917777196926,0,0.687744,-2.75098
17917777318998,-0.0335093,-0.151738,0.202033,17917777280573,0,0.687744,-2.75098
17917777402441,-0.0335093,-0.151738,0.202033,17917777364034,0,0.687744,-2.75098
17917777485884,-0.0335093,-0.151738,0.202033,17917777447533,0,0.687744,-2.75098
17917777569290,-0.0335093,-0.151738,0.202033,17917777530884,0,0.687744,-2.75098
17917777652697,-0.0335093,-0.151738,0.202033,17917777614271,0,0.687744,-2.75098
17917777736010,-0.0335093,-0.151738,0.202033,17917777697659,0,0.687744,-2.75098
17917777819361,-0.0335093,-0.151738,0.202033,17917777780954,0,0.687744,-2.75098
17917777902730,-0.0335093,-0.151738,0.202033,17917777864378,0,0.687744,-2.75098
17917777986080,-0.0335093,-0.151738,0.202033,17917777947729,0,0.687744,-2.75098
17917778069486,-0.0335093,-0.151738,0.202033,17917778031080,0,0.687744,-2.75098
17917778152818,-0.0335093,-0.151738,0.202033,17917778114430,0,0.687744,-2.75098
17917778236132,-0.0335093,-0.151738,0.202033,17917778197781,0,0.687744,-2.75098
17917778319445,-0.0335093,-0.151738,0.202033,17917778281076,0,0.687744,-2.75098
17917778402722,-0.0335093,-0.151738,0.202033,17917778364352,0,0.687744,-2.75098
17917778486017,-0.0335093,-0.151738,0.202033,17917778447610,0,0.687744,-2.75098
17917778569367,-0.0335093,-0.151738,0.202033,17917778530924,0,0.687744,-2.75098
17917778652588,-0.0335093,-0.151738,0.202033,17917778614219,0,0.687744,-2.75098
17917778735976,-0.0335093,-0.151738,0.202033,17917778697569,0,0.687744,-2.75098
17917778819308,-0.0335093,-0.151738,0.202033,17917778780920,0,0.687744,-2.75098
17917778902622,-0.0335093,-0.151738,0.202033,17917778864270,0,0.687744,-2.75098
17917778985991,-0.0335093,-0.151738,0.202033,17917778947565,0,0.687744,-2.75098
17917779069286,-0.0335093,-0.151738,0.202033,17917779030934,0,0.687744,-2.75098
17917779152562,-0.0335093,-0.151738,0.202033,17917779114211,0,0.687744,-2.75098
17917779235857,-0.0335093,-0.151738,0.202033,17917779197506,0,0.687744,-2.75098
